  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   911     1   0  8May23 ??         5:11.30 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  501   920     1   0  8May23 ??         4:37.22 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetIntentsPeople.appex/Contents/MacOS/FindMyWidgetIntentsPeople -AppleLanguages ("en-DE", "de-DE", "ru-DE")
  501   948     1   0  8May23 ??         7:34.69 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  265   950     1   0  8May23 ??         2:28.59 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  501   956     1   0  8May23 ??         2:45.62 /System/Library/CoreServices/diagnostics_agent
  501   958     1   0  8May23 ??         0:04.26 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
    0   973     1   0  8May23 ??         2:25.43 /System/Library/CoreServices/SubmitDiagInfo server-init
    0   977     1   0  8May23 ??         0:00.91 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  501   978     1   0  8May23 ??         9:46.51 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501   989     1   0  8May23 ??       2776:52.89 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501  1031     1   0  8May23 ??         9:34.50 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501  1032     1   0  8May23 ??         0:23.22 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
   89  1109     1   0  8May23 ??         1:18.53 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  277  1134     1   0  8May23 ??         1:37.95 /usr/sbin/distnoted agent
    0  1456     1   0  8May23 ??         0:00.81 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdsync -s mdworker-scan -c MDSSyncScanWorker -m com.apple.metadata.mds.scan
  501  1505     1   0  8May23 ??       870:33.44 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  501  1508     1   0  8May23 ??       10877:00.30 /Applications/zoom.us.app/Contents/MacOS/zoom.us
  501  1511     1   0  8May23 ??       1649:38.19 /Applications/Telegram.app/Contents/MacOS/Telegram
  501  1513     1   0  8May23 ??        69:41.74 /System/Applications/Notes.app/Contents/MacOS/Notes
  501  1515     1   0  8May23 ??        21:41.21 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  501  1516     1   0  8May23 ??        29:26.52 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501  1517     1   0  8May23 ??         6:49.50 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501  1518     1   0  8May23 ??       156:17.46 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501  1521     1   0  8May23 ??        18:03.19 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
    0  1525     1   0  8May23 ??         0:07.12 automountd
  501  1526     1   0  8May23 ??         0:17.17 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501  1535     1   0  8May23 ??        31:01.21 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
    0  1537     1   0  8May23 ??         0:11.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  501  1539     1   0  8May23 ??         2:01.13 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501  1546     1   0  8May23 ??         3:08.71 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501  1552     1   0  8May23 ??         0:10.52 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501  1562     1   0  8May23 ??         5:55.05 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-DE", "de-DE", "ru-DE")
  501  1565     1   0  8May23 ??         0:10.31 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  501  1576     1   0  8May23 ??         0:12.76 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/113.0.5672.63/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/annamarijazasuhina/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=113.0.5672.63 --handshake-fd=5
  501  1608  1505   0  8May23 ??       1472:38.79 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/113.0.5672.63/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAaAcAAAAAAABoBwAAAAAAAHgCAABOAAAAcAIAAAAAAAB4AgAAAAAAAIACAAAAAAAAiAIAAAAAAACQAgAAAAAAAJgCAAAAAAAAoAIAAAAAAACoAgAAAAAAALACAAAAAAAAuAIAAAAAAADAAgAAAAAAAMgCAAAAAAAA0AIAAAAAAADYAgAAAAAAAOACAAAAAAAA6AIAAAAAAADwAgAAAAAAAPgCAAAAAAAAAAMAAAAAAAAIAwAAAAAAABADAAAAAAAAGAMAAAAAAAAgAwAAAAAAACgDAAAAAAAAMAMAAAAAAAA4AwAAAAAAAEADAAAAAAAASAMAAAAAAABQAwAAAAAAAFgDAAAAAAAAYAMAAAAAAABoAwAAAAAAAHADAAAAAAAAeAMAAAAAAACAAwAAAAAAAIgDAAAAAAAAkAMAAAAAAACYAwAAAAAAAKADAAAAAAAAqAMAAAAAAACwAwAAAAAAALgDAAAAAAAAwAMAAAAAAADIAwAAAAAAANADAAAAAAAA2AMAAAAAAADgAwAAAAAAAOgDAAAAAAAA8AMAAAAAAAD4AwAAAAAAAAAEAAAAAAAACAQAAAAAAAAQBAAAAAAAABgEAAAAAAAAIAQAAAAAAAAoBAAAAAAAADAEAAAAAAAAOAQAAAAAAABABAAAAAAAAEgEAAAAAAAAUAQAAAAAAABYBAAAAAAAAGAEAAAAAAAAaAQAAAAAAABwBAAAAAAAAHgEAAAAAAAAgAQAAAAAAACIBAAAAAAAAJAEAAAAAAAAmAQAAAAAAACgBAAAAAAAAKgEAAAAAAAAsAQAAAAAAAC4BAAAAAAAAMAEAAAAAAAAyAQAAAAAAADQBAAAAAAAANgEAAAAAAAAEAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAEAAAAQAAAAAAAAAAAAAAACAAAAEAAAAAAAAAAAAAAAAwAAABAAAAAAAAAAAAAAAAYAAAAQAAAAAAAAAAAAAAAHAAAAEAAAAAAAAAAAAAAACAAAABAAAAAAAAAAAAAAAAkAAAAQAAAAAAAAAAAAAAALAAAAEAAAAAAAAAAAAAAADAAAABAAAAAAAAAAAAAAAA4AAAAQAAAAAAAAAAAAAAAPAAAAEAAAAAAAAAAAAAAAEAAAABAAAAAAAAAAAQAAAAAAAAAQAAAAAAAAAAEAAAABAAAAEAAAAAAAAAABAAAAAgAAABAAAAAAAAAAAQAAAAMAAAAQAAAAAAAAAAEAAAAGAAAAEAAAAAAAAAABAAAABwAAABAAAAAAAAAAAQAAAAgAAAAQAAAAAAAAAAEAAAAJAAAAEAAAAAAAAAABAAAACwAAABAAAAAAAAAAAQAAAAwAAAAQAAAAAAAAAAEAAAAOAAAAEAAAAAAAAAABAAAADwAAABAAAAAAAAAAAQAAABAAAAAQAAAAAAAAAAQAAAAAAAAAEAAAAAAAAAAEAAAAAQAAABAAAAAAAAAABAAAAAIAAAAQAAAAAAAAAAQAAAADAAAAEAAAAAAAAAAEAAAABgAAABAAAAAAAAAABAAAAAcAAAAQAAAAAAAAAAQAAAAIAAAAEAAAAAAAAAAEAAAACQAAABAAAAAAAAAABAAAAAsAAAAQAAAAAAAAAAQAAAAMAAAAEAAAAAAAAAAEAAAADgAAABAAAAAAAAAABAAAAA8AAAAQAAAAAAAAAAQAAAAQAAAAEAAAAAAAAAAHAAAAAAAAABAAAAAAAAAABwAAAAEAAAAQAAAAAAAAAAcAAAACAAAAEAAAAAAAAAAHAAAAAwAAABAAAAAAAAAABwAAAAYAAAAQAAAAAAAAAAcAAAAHAAAAEAAAAAAAAAAHAAAACAAAABAAAAAAAAAABwAAAAkAAAAQAAAAAAAAAAcAAAALAAAAEAAAAAAAAAAHAAAADAAAABAAAAAAAAAABwAAAA4AAAAQAAAAAAAAAAcAAAAPAAAAEAAAAAAAAAAHAAAAEAAAABAAAAAAAAAACAAAAAAAAAAQAAAAAAAAAAgAAAABAAAAEAAAAAAAAAAIAAAAAgAAABAAAAAAAAAACAAAAAMAAAAQAAAAAAAAAAgAAAAGAAAAEAAAAAAAAAAIAAAABwAAABAAAAAAAAAACAAAAAgAAAAQAAAAAAAAAAgAAAAJAAAAEAAAAAAAAAAIAAAACwAAABAAAAAAAAAACAAAAAwAAAAQAAAAAAAAAAgAAAAOAAAAEAAAAAAAAAAIAAAADwAAABAAAAAAAAAACAAAABAAAAAQAAAAAAAAAAoAAAAAAAAAEAAAAAAAAAAKAAAAAQAAABAAAAAAAAAACgAAAAIAAAAQAAAAAAAAAAoAAAADAAAAEAAAAAAAAAAKAAAABgAAABAAAAAAAAAACgAAAAcAAAAQAAAAAAAAAAoAAAAIAAAAEAAAAAAAAAAKAAAACQAAABAAAAAAAAAACgAAAAsAAAAQAAAAAAAAAAoAAAAMAAAAEAAAAAAAAAAKAAAADgAAABAAAAAAAAAACgAAAA8AAAAQAAAAAAAAAAoAAAAQAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,1410088222821095770,9938740896284496346,262144 --seatbelt-client=19
  501  1609  1505   0  8May23 ??       927:32.38 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/113.0.5672.63/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --shared-files --field-trial-handle=1718379636,r,1410088222821095770,9938740896284496346,262144 --seatbelt-client=19
  501  1614  1505   0  8May23 ??        15:17.07 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/113.0.5672.63/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --shared-files --field-trial-handle=1718379636,r,1410088222821095770,9938740896284496346,262144 --seatbelt-client=26
  501  1637  1508   0  8May23 ??        19:04.29 /Applications/zoom.us.app/Contents/Frameworks/caphost.app/Contents/MacOS/caphost -pid 1508 -evtname caphost1508 -key rpc
  501  1659     1   0  8May23 ??         1:41.25 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  501  1660     1   0  8May23 ??         0:22.90 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
  501  1661     1   0  8May23 ??         9:07.44 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1662     1   0  8May23 ??         8:58.38 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1663     1   0  8May23 ??         5:19.03 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
    0  1669     1   0  8May23 ??         0:04.52 /System/Library/Frameworks/CoreMediaIO.framework/Resources/iOSScreenCapture.plugin/Contents/Resources/iOSScreenCaptureAssistant
  501  1733     1   0  8May23 ??         0:06.06 /System/Library/Image Capture/Support/icdd
  501  1736     1   0  8May23 ??         2:35.02 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501  1739     1   0  8May23 ??         8:05.12 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  501  1754     1   0  8May23 ??         0:58.07 /System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService
  501  2114     1   0  8May23 ??        15:52.41 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  501  2215     1   0 23Dec23 ??         0:13.79 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
  501  2216     1   0 23Dec23 ??         0:00.06 /usr/libexec/USBAgent
  501  2327     1   0  8May23 ??         0:00.55 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  501  2343     1   0  8May23 ??        25:49.99 /System/Applications/Freeform.app/Contents/MacOS/Freeform
  501  2369  1505   0  8May23 ??        78:47.43 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/113.0.5672.63/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --shared-files --field-trial-handle=1718379636,r,1410088222821095770,9938740896284496346,262144 --seatbelt-client=109
  501  3044     1   0 17Jan24 ??         0:07.25 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
